"名称","品牌","评分","年份","属性","香调"
"爱马仕 大地Hermes Terre d'Hermes, 2006","爱马仕 ",9.8,2006,"男香 ","辛辣木质调  "
"汤姆·福特 灰色香根草Tom Ford Grey Vetiver, 2009","汤姆·福特 ",9.7,2009,"男香 ","辛辣木质调  "
"娇兰 午夜飞行Guerlain Vol de Nuit, 1933","娇兰 ",9.5,1933,"女香 ","木质调  "
"莱俪 墨恋Lalique Encre Noire, 2006","莱俪 ",9.5,2006,"男香 ","木质馥奇香调  "
"爱马仕 尼罗河花园Hermes Un Jardin Sur Le Nil, 2005","爱马仕 ",9.5,2005,"中性香","花香果香调  "
"娇兰 一千零一夜Guerlain Shalimar, 1925","娇兰 ",9.5,1925,"女香 ","辛辣东方调  "
"娇兰 蝴蝶夫人Guerlain Mitsouko Eau de Toilette, 1919","娇兰 ",9.4,1919,"女香 ","果香甘苔调  "
"娇兰 遗产Guerlain Heritage Eau de Toilette, 1992","娇兰 ",9.4,1992,"男香 ","辛辣木质调  "
"娇兰 圣莎拉Guerlain Samsara Eau de Parfum, 1989","娇兰 ",9.4,1989,"女香 ","木质东方调  "
"迪奥 清新之水Dior Eau Sauvage, 1966","迪奥 ",9.4,1966,"男香 ","柑橘馥奇香调  "
"香奈儿 19号Chanel No 19 Eau de Parfum, 1970","香奈儿 ",9.4,1970,"女香 ","绿叶花香调  "
"娇兰 满堂红Guerlain Habit Rouge Eau de Toilette, 1965","娇兰 ",9.3,1965,"男香 ","木质东方调  "
"宝格丽 大吉岭茶Bvlgari Pour Homme, 1996","宝格丽 ",9.3,1996,"男香 ","木质花香调  "
"爱马仕 橘绿之泉 淡香水Hermes Concentre d'Orange Verte EDT, 2004","爱马仕 ",9.3,2004,"中性香","柑橘馥奇香调  "
"斯特拉 同名女士Stella McCartney Stella, 2003","斯特拉 ",9.3,2003,"女香 ","花香调  "
"娇兰 阵雨过后（雨过天晴）Guerlain Apres l'Ondee, 1906","娇兰 ",9.3,1906,"女香 ","东方花香调  "
"娇兰 蓝调时光Guerlain L'Heure Bleue, 1912","娇兰 ",9.3,1912,"女香 ","东方花香调  "
"圣罗兰 鸦片男士YSL Yves Saint Laurent Opium Pour Homme, 1995","圣罗兰 ",9.3,1995,"男香 ","辛辣东方调  "
"香奈儿 珍藏系列东方屏风Chanel Les Exclusifs de Chanel Coromandel, 2007","香奈儿 ",9.3,2007,"女香 ","木质东方调  "
"蒂埃里·穆勒 青净古龙水Mugler Cologne, 2001","蒂埃里·穆勒 ",9.2,2001,"中性香","柑橘馥奇香调  "
"阿玛尼 寄情水男士Giorgio Armani Acqua di Gio, 1996","阿玛尼 ",9.2,1996,"男香 ","水生馥奇香调  "
"香奈儿 可可小姐Chanel Coco Mademoiselle, 2001","香奈儿 ",9.2,2001,"女香 ","花香甘苔调  "
"博柏利 伦敦男士（新伦敦）Burberry London for Men, 2006","博柏利 ",9.2,2006,"男香 ","辛辣东方调  "
"迪奥 桀骜男士Dior Homme, 2005","迪奥 ",9.2,2005,"男香 ","木质花香调  "
"香奈儿 可可女士Chanel Coco Eau de Parfum, 1984","香奈儿 ",9.2,1984,"女香 ","辛辣东方调  "
"爱马仕 橘采星光（橘彩）Hermes Eau des Merveilles, 2004","爱马仕 ",9.2,2004,"女香 ","木质东方调  "
"让·巴杜 喜悦Jean Patou Joy, 1930","让·巴杜 ",9.2,1930,"女香 ","花香调  "
"迪奥 真我Dior J'adore, 1999","迪奥 ",9.2,1999,"女香 ","花香果香调  "
"迪奥 沙丘女士Dior Dune, 1991","迪奥 ",9.2,1991,"女香 ","木质东方调  "
"迪奥 午夜奇葩（蓝毒）Dior Midnight Poison, 2007","迪奥 ",9.2,2007,"女香 ","木质甘苔调  "
"古驰 经典同名男士二代Gucci Pour Homme II, 2007","古驰 ",9.2,2007,"男香 ","辛辣木质调  "
"迪奥 华氏温度Dior Fahrenheit, 1988","迪奥 ",9.2,1988,"男香 ","木质花香调  "
"迪奥 蓝色魅惑Dior Addict, 2002","迪奥 ",9.2,2002,"女香 ","东方花香调  "
"保罗史密斯 玫瑰之约Paul Smith Rose, 2007","保罗史密斯 ",9.1,2007,"女香 ","花香调  "
"爱马仕 血色大黄Hermes Eau de Rhubarbe Ecarlate, 2016","爱马仕 ",9.1,2016,"中性香","：爱马仕调香师：Christine Nagel 属性：中性香  <U+00A0><U+00A0>  "
"爱马仕 地中海花园Hermes Un Jardin En Mediterranee, 2003","爱马仕 ",9.1,2003,"中性香","水生花香调  "
"蔻依 同名淡香精（肉丝带）Chloe Eau de Parfum, 2008","蔻依 ",9.1,2008,"女香 ","东方花香调  "
"高田贤三 风之恋Kenzo L'Eau par Kenzo pour Homme, 1999","高田贤三 ",9.1,1999,"男香 ","水生馥奇香调  "
"娇兰 香根草（伟之华）Guerlain Vetiver, 2000","娇兰 ",9.1,2000,"男香 ","木质馥奇香调  "
"古驰 新同名男士Gucci by Gucci Pour Homme, 2008","古驰 ",9.1,2008,"男香 ","木质甘苔调  "
"纳茜素 她的同名女士淡香水Narciso Rodriguez For Her, 2003","纳茜素 ",9.1,2003,"女香 ","木质花香调  "
"宝格丽 白茶Bvlgari Eau Parfumee au The Blanc, 2003","宝格丽 ",9.1,2003,"中性香","木质花香调  "
"宝格丽 红茶Bvlgari Eau Parfumee au The Rouge, 2006","宝格丽 ",9.1,2006,"中性香","木质东方调  "
"科颜氏 原创麝香Kiehl's Original Musk, 2004","科颜氏 ",9.1,2004,"中性香","木质花香调  "
"爱马仕 屋顶花园Hermes Un Jardin Sur Le Toit, 2011","爱马仕 ",9.1,2011,"中性香","果香馥奇香调  "
"爱马仕 爱马仕的一天（爱马仕之光）Hermes Jour d'Hermes, 2013","爱马仕 ",9.1,2013,"女香 ","花香调  "
"爱马仕 李先生的花园Hermes Le Jardin de Monsieur Li, 2015","爱马仕 ",9.1,2015,"中性香","柑橘馥奇香调  "
"圣罗兰 鸦片YSL Yves Saint Laurent Opium, 1977","圣罗兰 ",9.1,1977,"女香 ","辛辣东方调  "
"博柏利 动感节拍男士Burberry The Beat for Men, 2008","博柏利 ",9.1,2008,"男香 ","木质馥奇香调  "
"香奈儿 力度Chanel Antaeus, 1981","香奈儿 ",9.1,1981,"男香 ","木质甘苔调  "
"保罗史密斯 故事Paul Smith Story, 2006","保罗史密斯 ",9,2006,"男香 ","花香果香调  "
"爱马仕之旅Hermes Voyage d'Hermes, 2010","爱马仕之旅Hermes ",9,2010,"中性香","木质花香调  "
"爱马仕 杜嘉班纳 浅蓝女士Dolce&Gabbana Light Blue, 2001","爱马仕 ",9,2001,"女香 ","花香果香调  "
"祖玛珑 蓝色风铃草Jo Malone Wild Bluebell, 2011","祖玛珑 ",9,2011,"女香 ","绿叶花香调  "
"香奈儿 水晶恋Chanel Cristalle Eau de Toilette, 1974","香奈儿 ",9,1974,"女香 ","柑橘馥奇香调  "
"祖玛珑 鼠尾草与海盐Jo Malone Wood Sage & Sea Salt, 2014","祖玛珑 ",9,2014,"中性香","馥奇香调  "
"迪奥 蛊媚奇葩（红毒）Dior Hypnotic Poison, 1998","迪奥 ",9,1998,"女香 ","东方美食调  "
"宝格丽 水能量（碧蓝）Bvlgari Aqva Pour Homme, 2005","宝格丽 ",9,2005,"男香 ","水生馥奇香调  "
"迪奥 毒药（紫毒）Dior Poison, 1985","迪奥 ",9,1985,"女香 ","东方花香调  "
"阿莎罗 同名男士（卡门情人）Azzaro pour Homme, 1978","阿莎罗 ",9,1978,"男香 ","馥奇香调  "
"娇兰 瞬间男士Guerlain L'Instant de Guerlain pour Homme, 2004","娇兰 ",8.9,2004,"男香 ","辛辣木质调  "
"香奈儿 5号Chanel N°5, 1921","香奈儿 ",8.9,1921,"女香 ","醛香花香调  "
"宝格丽 活力海洋（海蓝）Bvlgari Aqva Pour Homme Marine, 2008","宝格丽 ",8.9,2008,"男香 ","水生馥奇香调  "
"普拉达 鸢尾花男士Prada Infusion d'Homme, 2008","普拉达 ",8.9,2008,"男香 ","木质馥奇香调  "
"香奈儿 邂逅柔情（粉邂逅）Chanel Chance Eau Tendre, 2010","香奈儿 ",8.9,2010,"女香 ","花香果香调  "
"娇兰 花草水语-柑橘罗勒Guerlain Aqua Allegoria Mandarine Basilic, 2007","娇兰 ",8.9,2007,"女香 ","柑橘馥奇香调  "
